freq,busy_power_avg,idle_power_avg
2000000,1981514.328452,411109.321596
1900000,1649439.790795,324498.190141
1800000,1398867.171548,280353.870892
1700000,1228578.472803,239367.772300
1600000,1133284.128631,216787.070539
1500000,983700.479253 ,187216.417012
1400000,871366.493776 ,166321.811203
1300000,766911.970954 ,148159.701245
1200000,673881.278008 ,128438.977178
1100000,584917.278008 ,114221.157676
1000000,504434.524896 ,99478.331950
900000 ,432229.170124 ,85452.141079
800000 ,376333.475104 ,74045.850622
700000 ,322164.560166 ,65200.537344
600000 ,279394.172199 ,58115.952282
500000 ,235736.672199 ,52664.900415
400000 ,194290.626556 ,47044.014523
300000 ,151420.286307 ,39432.605809
200000 ,106569.468880 ,32398.582988
