freq,busy_power_avg,idle_power_avg
1500000,336002.473029,111553.31535
1400000,296700.531120,95307.300830
1300000,250669.719917,80792.466805
1200000,211534.825726,66800.045643
1100000,180345.539419,57373.537344
1000000,153265.514523,48659.043568
900000 ,128042.558091,40561.041494
800000 ,105662.180498,33884.489627
700000 ,86291.778008 ,27764.844398
600000 ,68608.970954 ,22064.923237
500000 ,53208.655602 ,17543.831950
400000 ,43620.560166 ,15230.668050
300000 ,33682.954357 ,12181.740664
200000 ,23576.591286 ,9729.885892
